"LANGUAGE","日本語","Language name (in native language)."
"MOD_NAME","Visibility Control","Mod name in native language - used for status tooltip."
"MOD_DESCRIPTION","シェーダー制御やLOD距離などのレンダリングの管理","Mod description, visibile in content manager."
"OPTIONS_GENERAL","全般","Options tab title."
"OPTIONS_TRANSPARENCY","Transparent LOD fix","Options tab title."
"OPTIONS_ULOD","LODの描画距離","Options tab title."
"OPTIONS_BUILDINGS","建物","Options panel group title."
"OPTIONS_PROPS","Prop","Options panel group title."
"OPTIONS_TREES","ツリー","Options panel group title."
"OPTIONS_NETS","ネットワーク","Options panel group title."
"OPTIONS_VEHICLES","車両","Options panel group title."
"FALLBACK_DISTANCE","代替え用の最大の表示距離","Slider in options panel."
"FALLBACK_DISTANCE_TIP","動的な距離で計算できない場合に、使用される表示距離の最大値です。","Slider tooltop in options panel."
"MIN_DISTANCE","最小の表示距離","Slider in options panel."
"MIN_DISTANCE_TIP","設定した距離内であれば、大きさに関係なく全てのPropが表示されます。","Slider tooltop in options panel."
"DISTANCE_MULT","距離の倍率","Slider in options panel."
"DISTANCE_MULT_TIP","計算された表示範囲を変更して、高い値は表示範囲がより広くなります。","Slider tooltop in options panel."
"DECAL_DISTANCE","デカールのフェード距離","Slider in options panel."
"DECAL_DISTANCE_TIP","デカールが背景にフェードインするまでの距離を設定します。","Slider tooltop in options panel."
"LOD_TRANSITION","LODの切り替え距離","Slider in options panel."
"LOD_TRANSITION_TIP","3Dモデルの最大の表示距離は、設定した割合でノーマルからLODに移行します。","Slider tooltop in options panel."
"TREE_DISTANCE","ツリーLODの描画距離","Slider in options panel."
"RESET_DEFAULT","デフォルトに戻す","Options panel button text."
"HOTKEYS","ホットキー","Options panel group title."
"KEY_SCREENSHOT","スクリーンショットモードの切り替え (最高画質)","Options panel key setting text."
"KEY_LOD","LODモードの切り替え (最低画質)","Options panel key setting text."
"KEY_VANILLA","バニラモードの切り替え (ゲームのデフォルト)","Options panel key setting text."
"MODE_NORMAL","ノーマルモード (MODの設定)","Status tooltip text."
"MODE_SCREENSHOT","スクリーンショットモード (最高画質)","Status tooltip text."
"MODE_LOD","LODモード (最低画質)","Status tooltip text."
"MODE_VANILLA","バニラモード (ゲームのデフォルト)","Status tooltip text."
"TO DISABLE","無効にする場合:","Status tooltip text."
