"LANGUAGE","Русский","Language name (in native language)."
"MOD_NAME","Контроль видимости","Mod name in native language - used for status tooltip."
"MOD_DESCRIPTION","Шейдер, расстояние детализации и другие визуальные элементы контроля","Mod description, visibile in content manager."
"OPTIONS_GENERAL","Основные","Options tab title."
"OPTIONS_TRANSPARENCY","Исправление прозрачности детализации","Options tab title."
"OPTIONS_ULOD","Дистанция детализации","Options tab title."
"OPTIONS_BUILDINGS","Здания","Options panel group title."
"OPTIONS_PROPS","Реквизиты","Options panel group title."
"OPTIONS_TREES","Деревья","Options panel group title."
"OPTIONS_NETS","Дороги","Options panel group title."
"OPTIONS_VEHICLES","Транспорт","Options panel group title."
"FALLBACK_DISTANCE","Резервное максимальное расстояние видимости","Slider in options panel."
"FALLBACK_DISTANCE_TIP","Это максимальное расстояние видимости, которое будет использоваться, если динамическое расстояние не может быть рассчитано.","Slider tooltop in options panel."
"MIN_DISTANCE","Минимальная дистанция видимости","Slider in options panel."
"MIN_DISTANCE_TIP","Всё будет видно на этом расстоянии, независимо от размера.","Slider tooltop in options panel."
"DISTANCE_MULT","Множитель расстояния","Slider in options panel."
"DISTANCE_MULT_TIP","Изменяет диапазон видимости - более высокие значения означают большую видимость.","Slider tooltop in options panel."
"DECAL_DISTANCE","Расстояние выцветания наклейки","Slider in options panel."
"DECAL_DISTANCE_TIP","Устанавливает расстояние, при котором наклейки будут затухать в фон.","Slider tooltop in options panel."
"LOD_TRANSITION","Расстояние перехода уровня детализации","Slider in options panel."
"LOD_TRANSITION_TIP","Модель перейдёт от стандартного к детализации на этом проценте от максимального расстояния видимости.","Slider tooltop in options panel."
"TREE_DISTANCE","Дистанция детализации деревьев","Slider in options panel."
"RESET_DEFAULT","Сбросить по умолчанию","Options panel button text."
"HOTKEYS","Клавиши","Options panel group title."
"KEY_SCREENSHOT","Переключить на режим скриншота (максимальная детализация)","Options panel key setting text."
"KEY_LOD","Переключить на режим LOD (низкая детализация)","Options panel key setting text."
"KEY_VANILLA","Переключить на стандартный режим (по умолчанию)","Options panel key setting text."
"MODE_NORMAL","Режим стандарт (настройки мода)","Status tooltip text."
"MODE_SCREENSHOT","Режим Скриншот (наивысшая детализация)","Status tooltip text."
"MODE_LOD","Режим LOD (низкая детализация)","Status tooltip text."
"MODE_VANILLA","Режим Игры (по умолчанию)","Status tooltip text."
"TO DISABLE","Отключить:","Status tooltip text."
